,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
2831, C Class,2016,Automatic,25000,Petrol,3.0,1,0,0,0,0,0,0,1,33500
2832, C Class,2015,Semi-Auto,25199,Diesel,2.1,0,0,0,1,1,0,0,0,18990
2833, C Class,2013,Automatic,89000,Diesel,2.1,1,0,0,0,1,0,0,0,8990
2834, C Class,2014,Automatic,80000,Diesel,2.1,1,0,0,0,1,0,0,0,8990
2835, C Class,2017,Automatic,30000,Petrol,4.0,1,0,0,0,0,0,0,1,33990
2836, C Class,2015,Manual,80000,Petrol,2.0,0,1,0,0,0,0,0,1,11490
2837, C Class,2015,Automatic,37000,Diesel,2.1,1,0,0,0,1,0,0,0,16490
2838, C Class,2017,Automatic,23000,Diesel,2.1,1,0,0,0,1,0,0,0,17990
2839, C Class,2015,Automatic,67000,Diesel,2.1,1,0,0,0,1,0,0,0,13990
2840, C Class,2012,Automatic,54000,Diesel,2.1,1,0,0,0,1,0,0,0,8490
2841, C Class,2017,Semi-Auto,11499,Diesel,2.1,0,0,0,1,1,0,0,0,25824
2842, C Class,2017,Semi-Auto,16496,Diesel,2.1,0,0,0,1,1,0,0,0,25824
2843, C Class,2016,Semi-Auto,35999,Petrol,2.0,0,0,0,1,0,0,0,1,18124
2844, C Class,2017,Semi-Auto,28848,Petrol,2.0,0,0,0,1,0,0,0,1,22124
2845, C Class,2017,Automatic,22811,Petrol,2.0,1,0,0,0,0,0,0,1,23124
2846, C Class,2017,Semi-Auto,28023,Diesel,2.1,0,0,0,1,1,0,0,0,21124
2847, C Class,2019,Automatic,9,Diesel,2.0,1,0,0,0,1,0,0,0,30995
2848, C Class,2019,Semi-Auto,11397,Petrol,1.5,0,0,0,1,0,0,0,1,25749
2849, C Class,2019,Semi-Auto,14517,Petrol,1.5,0,0,0,1,0,0,0,1,19749
2850, C Class,2019,Semi-Auto,19821,Diesel,2.0,0,0,0,1,1,0,0,0,21449
2851, C Class,2019,Semi-Auto,14222,Petrol,1.5,0,0,0,1,0,0,0,1,19799
2852, C Class,2019,Semi-Auto,13794,Petrol,1.5,0,0,0,1,0,0,0,1,19849
2853, C Class,2019,Semi-Auto,11785,Petrol,1.5,0,0,0,1,0,0,0,1,20149
2854, C Class,2019,Semi-Auto,6685,Petrol,1.5,0,0,0,1,0,0,0,1,25849
2855, C Class,2019,Semi-Auto,9227,Petrol,1.5,0,0,0,1,0,0,0,1,26099
2856, C Class,2019,Semi-Auto,6880,Petrol,1.5,0,0,0,1,0,0,0,1,25849
2857, C Class,2019,Semi-Auto,9419,Diesel,2.0,0,0,0,1,1,0,0,0,26499
2858, C Class,2015,Automatic,42000,Diesel,2.1,1,0,0,0,1,0,0,0,16990
2859, C Class,2016,Automatic,44000,Diesel,1.6,1,0,0,0,1,0,0,0,15990
2860, C Class,2015,Automatic,87000,Diesel,2.1,1,0,0,0,1,0,0,0,12990
2861, C Class,2015,Automatic,50000,Petrol,2.0,1,0,0,0,0,0,0,1,13990
2862, C Class,2015,Automatic,39000,Diesel,2.1,1,0,0,0,1,0,0,0,14990
2863, C Class,2014,Automatic,54000,Diesel,2.1,1,0,0,0,1,0,0,0,14990
2864, C Class,2013,Manual,74000,Petrol,1.6,0,1,0,0,0,0,0,1,8990
2865, C Class,2016,Automatic,17000,Petrol,2.0,1,0,0,0,0,0,0,1,15990
2866, C Class,2012,Automatic,96000,Diesel,2.1,1,0,0,0,1,0,0,0,7490
2867, C Class,2018,Semi-Auto,18321,Diesel,2.1,0,0,0,1,1,0,0,0,20771
2868, C Class,2015,Semi-Auto,26314,Hybrid,2.0,0,0,0,1,0,1,0,0,18649
2869, C Class,2017,Automatic,53000,Diesel,2.1,1,0,0,0,1,0,0,0,15990
2870, C Class,2017,Automatic,26000,Diesel,2.1,1,0,0,0,1,0,0,0,17990
2871, C Class,2016,Automatic,29000,Diesel,2.1,1,0,0,0,1,0,0,0,16990
2872, C Class,2015,Automatic,32000,Petrol,4.0,1,0,0,0,0,0,0,1,39990
2873, C Class,2016,Automatic,57000,Diesel,2.1,1,0,0,0,1,0,0,0,17990
2874, C Class,2015,Automatic,40000,Diesel,2.1,1,0,0,0,1,0,0,0,16990
2875, C Class,2015,Automatic,96000,Diesel,2.1,1,0,0,0,1,0,0,0,12990
2876, C Class,2016,Automatic,79000,Diesel,2.1,1,0,0,0,1,0,0,0,13490
2877, C Class,2017,Automatic,31000,Diesel,2.1,1,0,0,0,1,0,0,0,17490
2878, C Class,2015,Automatic,29000,Diesel,2.1,1,0,0,0,1,0,0,0,13990
2879, C Class,2012,Automatic,91000,Diesel,2.1,1,0,0,0,1,0,0,0,8990
2880, C Class,2014,Automatic,76000,Diesel,2.1,1,0,0,0,1,0,0,0,12990
